,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
130,touho,100,NC,1590338729,73,-20.78,165.23,71.4,4.92
131,mbanza-ngungu,96,CD,1590338729,90,-5.25,14.87,74.12,4.0
132,thompson,20,CA,1590338729,54,55.74,-97.86,53.6,10.29
133,karratha,100,AU,1590338729,86,-20.74,116.85,78.31,24.16
134,barrow,1,US,1590338729,86,71.29,-156.79,30.2,10.29
135,abha,75,SA,1590338643,33,18.22,42.51,71.6,13.87
136,longyearbyen,97,SJ,1590338496,48,78.22,15.64,44.6,8.05
137,puerto ayora,0,ES,1590338729,37,36.59,-6.23,91.4,13.87
138,grand river south east,1,US,1590338572,28,38.88,-109.5,61.0,5.82
139,airai,84,TL,1590338729,100,-8.93,125.41,60.91,3.27
140,lorengau,41,PG,1590338730,76,-2.02,147.27,81.28,2.62
141,maragogi,35,BR,1590338730,82,-9.01,-35.22,81.14,9.69
142,lar,100,IN,1590338730,16,26.2,83.97,96.13,4.94
143,emerald,0,AU,1590338730,93,-23.53,148.17,46.4,6.4
144,kaitangata,100,NZ,1590338730,87,-46.28,169.85,48.0,1.99
145,bauchi,94,NG,1590338730,34,10.5,10.0,92.75,6.64
146,manaure,84,CO,1590338731,53,11.78,-72.44,92.32,17.58
147,reserva,84,BR,1590338731,62,-24.65,-50.85,59.74,3.2
148,hithadhoo,86,MV,1590338731,72,-0.6,73.08,84.24,6.42
149,wewak,84,PG,1590338731,85,-3.55,143.63,80.44,6.87
150,khandyga,32,RU,1590338731,68,62.67,135.6,44.28,5.88
151,najran,40,SA,1590338731,20,17.49,44.13,93.2,9.17
152,seymchan,100,RU,1590338732,73,62.88,152.43,39.38,6.85
153,toora-khem,59,RU,1590338732,61,52.47,96.11,53.76,3.09
154,stornoway,75,GB,1590338732,82,58.21,-6.39,57.99,14.99
155,barcelos,86,PT,1590338609,50,41.54,-8.62,80.01,10.29
156,severo-kurilsk,100,RU,1590338732,89,50.68,156.12,40.17,8.52
157,sao joao da barra,0,IN,1590338732,16,20.51,76.21,92.52,11.14
158,leningradskiy,99,RU,1590338732,97,69.38,178.42,27.43,10.36
159,mae hong son,100,CN,1590338732,63,34.82,108.93,62.6,2.24
160,sorland,82,NO,1590338732,58,67.67,12.69,53.6,8.05
161,bambous virieux,75,MU,1590338732,88,-20.26,57.41,70.0,3.36
162,risod,2,IN,1590338732,16,19.97,76.78,93.18,10.85
163,ruwi,40,OM,1590338733,56,23.6,58.55,93.2,11.41
164,bethel,1,US,1590338733,63,41.37,-73.41,69.01,6.06
165,torbay,20,CA,1590338733,43,47.67,-52.73,53.01,14.99
166,devin,90,BG,1590338733,68,41.74,24.4,69.8,19.46
167,tasiilaq,99,GL,1590338733,64,65.61,-37.64,39.2,13.87
168,egvekinot,65,RU,1590338733,95,66.32,-179.17,23.58,6.46
169,sobolivka,40,UA,1590338733,76,49.34,28.65,51.8,4.47
170,rocha,69,UY,1590338666,58,-34.48,-54.33,59.85,13.15
171,akyab,7,MM,1590338733,79,20.15,92.9,83.28,6.35
172,mehamn,48,NO,1590338733,57,71.04,27.85,48.2,26.4
173,grindavik,90,IS,1590338734,93,63.84,-22.43,39.2,13.87
174,hervey bay,90,US,1590338734,74,33.5,-93.78,78.8,13.87
175,khatanga,98,RU,1590338734,82,71.97,102.5,51.78,7.09
176,zhangjiakou,50,CN,1590338734,40,40.81,114.88,60.64,3.36
177,pevek,98,RU,1590338734,95,69.7,170.31,25.86,3.11
178,omsukchan,100,RU,1590338734,97,62.53,155.8,31.19,1.57
179,santa marta,100,PH,1590338734,80,17.49,120.43,79.75,5.41
180,chicama,16,PE,1590338734,56,-7.84,-79.15,77.04,9.04
181,korgen,40,NO,1590338734,50,66.08,13.82,57.2,6.93
182,coquimbo,7,CL,1590338567,72,-29.95,-71.34,60.8,9.17
183,bourail,100,NC,1590338734,83,-21.57,165.48,69.06,2.28
184,sinaloa,40,MX,1590338734,65,25.0,-107.5,82.99,8.05
185,puerto madero,0,ES,1590338735,37,36.59,-6.23,91.4,13.87
